LintCode  Num,LintCode Title,LeetCode Num,LeetCode Title,LeetCode Num,LeetCode Title
1,A + B Problem,,,,
2,Trailing Zeros,172,Factorial  Trailing Zeroes,,
3,Digit Counts,362,Design Hit Counter,,
4,Ugly Number II,264,Ugly Number II,263,Ugly Number
5,Kth Largest  Element,215,Kth  Largest Element in an Array,703,Kth  Largest Element in a Stream
6,Merge Two  Sorted Arrays,88,Merge Sorted Array,21,Merge Two Sorted  Lists
7,Binary Tree  Serialization,563,Binary Tree Tilt,257,Binary Tree Paths
8,Rotate String,796,Rotate String,767,Reorganize String
9,Fizz Buzz,412,Fizz Buzz,,
10,String  Permutation II,47,Permutations II,484,Find Permutation
11,Search  Range in Binary Search Tree,700,Search in  a Binary Search Tree,501,Find  Mode in Binary Search Tree
12,Min Stack,155,Min Stack,716,Max Stack
13,strStr,,,,
14,First  Position of Target,830,Positions of  Large Groups,,
15,Permutations,46,Permutations,47,Permutations II
16,Permutations II,47,Permutations II,46,Permutations
17,Subsets,78,Subsets,90,Subsets II
18,Subsets II,90,Subsets II,78,Subsets
20,Dices Sum,,,,
22,Flatten List,61,Rotate List,86,Partition List
24,LFU Cache,460,LFU Cache,146,LRU Cache
28,Search a 2D Matrix,74,Search a 2D Matrix,240,Search a 2D Matrix  II
29,Interleaving  String,97,Interleaving String,344,Reverse String
30,Insert Interval,57,Insert Interval,56,Merge Intervals
31,Partition Array,330,Patching Array,763,Partition Labels
32,Minimum  Window Substring,76,Minimum Window  Substring,727,Minimum  Window Subsequence
33,N-Queens,51,N-Queens,52,N-Queens II
34,N-Queens II,52,N-Queens II,51,N-Queens
35,Reverse Linked  List,206,Reverse Linked List,92,Reverse Linked  List II
36,Reverse Linked  List II,92,Reverse Linked  List II,206,Reverse Linked List
37,Reverse  3-digit Integer,7,Reverse Integer,,
38,Search a 2D  Matrix II,240,Search a 2D Matrix  II,74,Search a 2D Matrix
39,Recover  Rotated Sorted Array,33,Search in  Rotated Sorted Array,81,Search  in Rotated Sorted Array II
40,Implement  Queue by Two Stacks,232,Implement  Queue using Stacks,,
41,Maximum Subarray,53,Maximum Subarray,152,Maximum Product  Subarray
42,Maximum Subarray  II,53,Maximum Subarray,644,Maximum  Average Subarray II
43,Maximum Subarray  III,53,Maximum Subarray,644,Maximum  Average Subarray II
44,Minimum Subarray,53,Maximum Subarray,209,Minimum Size  Subarray Sum
45,Maximum  Subarray Difference,53,Maximum Subarray,539,Minimum Time  Difference
46,Majority Number,179,Largest Number,65,Valid Number
47,Majority Number II,229,Majority Element II,264,Ugly Number II
48,Majority Number  III,229,Majority Element II,264,Ugly Number II
49,Sort Letters by  Case,709,To Lower Case,,
50,Product  of Array Exclude Itself,238,Product of  Array Except Self,,
51,Previous  Permutation,31,Next Permutation,484,Find Permutation
52,Next Permutation,31,Next Permutation,46,Permutations
53,Reverse  Words in a String,151,Reverse Words  in a String,186,Reverse  Words in a String II
54,String to  Integer II,8,String to  Integer (atoi),13,Roman to Integer
55,Compare Strings,796,Rotate String,854,K-Similar Strings
56,Two Sum,1,Two Sum,,
57,3Sum,15,3Sum,18,4Sum
58,4Sum,18,4Sum,15,3Sum
59,3Sum Closest,16,3Sum Closest,,
60,Search Insert  Position,35,Search Insert  Position,,
61,Search for a Range,34,Search for a Range,,
62,Search  in Rotated Sorted Array,33,Search in  Rotated Sorted Array,81,Search  in Rotated Sorted Array II
63,Search  in Rotated Sorted Array II,81,Search  in Rotated Sorted Array II,33,Search in  Rotated Sorted Array
64,Merge Sorted Array,88,Merge Sorted Array,23,Merge k Sorted  Lists
65,Median of  two Sorted Arrays,4,Median of  Two Sorted Arrays,33,Search in  Rotated Sorted Array
66,Binary  Tree Preorder Traversal,144,Binary  Tree Preorder Traversal,145,Binary  Tree Postorder Traversal
67,Binary  Tree Inorder Traversal,94,Binary  Tree Inorder Traversal,144,Binary  Tree Preorder Traversal
68,Binary  Tree Postorder Traversal,145,Binary  Tree Postorder Traversal,590,N-ary Tree  Postorder Traversal
69,Binary  Tree Level Order Traversal,102,Binary  Tree Level Order Traversal,107,Binary  Tree Level Order Traversal II
70,Binary  Tree Level Order Traversal II,107,Binary  Tree Level Order Traversal II,102,Binary  Tree Level Order Traversal
71,Binary  Tree Zigzag Level Order Traversal,103,Binary  Tree Zigzag Level Order Traversal,102,Binary  Tree Level Order Traversal
72,Construct  Binary Tree from Inorder and Postorder Traversal,106,Construct  Binary Tree from Inorder and Postorder Traversal,889,Construct  Binary Tree from Preorder and Postorder Traversal
73,Construct  Binary Tree from Preorder and Inorder Traversal,105,Construct  Binary Tree from Preorder and Inorder Traversal,889,Construct  Binary Tree from Preorder and Postorder Traversal
74,First Bad Version,278,First Bad Version,,
75,Find Peak Element,162,Find Peak Element,658,Find K Closest  Elements
76,Longest  Increasing Subsequence,300,Longest  Increasing Subsequence,673,Number  of Longest Increasing Subsequence
77,Longest  Common Subsequence,521,Longest  Uncommon Subsequence I,522,Longest  Uncommon Subsequence II
78,Longest Common  Prefix,14,Longest Common  Prefix,819,Most Common Word
79,Longest  Common Substring,14,Longest Common  Prefix,5,Longest  Palindromic Substring
80,Median,,,,
81,Data Stream Median,,,,
82,Single Number,136,Single Number,137,Single Number II
83,Single Number II,137,Single Number II,260,Single Number III
84,Single Number III,260,Single Number III,137,Single Number II
85,Insert  Node in a Binary Search Tree,701,Insert  into a Binary Search Tree,501,Find  Mode in Binary Search Tree
86,Binary  Search Tree Iterator,173,Binary  Search Tree Iterator,95,Unique  Binary Search Trees II
87,Remove  Node in Binary Search Tree,99,Recover  Binary Search Tree,501,Find  Mode in Binary Search Tree
88,Lowest Common  Ancestor,236,Lowest  Common Ancestor of a Binary Tree,819,Most Common Word
89,k Sum,1,Two Sum,18,4Sum
90,k Sum II,454,4Sum II,113,Path Sum II
91,Minimum  Adjustment Cost,,,,
92,Backpack,,,,
93,Balanced Binary  Tree,110,Balanced Binary  Tree,226,Invert Binary Tree
94,Binary  Tree Maximum Path Sum,124,Binary Tree  Maximum Path Sum,257,Binary Tree Paths
95,Validate  Binary Search Tree,98,Validate  Binary Search Tree,669,Trim a Binary  Search Tree
96,Partition List,86,Partition List,763,Partition Labels
97,Maximum  Depth of Binary Tree,104,Maximum  Depth of Binary Tree,111,Minimum  Depth of Binary Tree
98,Sort List,148,Sort List,61,Rotate List
99,Reorder List,143,Reorder List,61,Rotate List
100,Remove  Duplicates from Sorted Array,26,Remove  Duplicates from Sorted Array,80,Remove  Duplicates from Sorted Array II
101,Remove  Duplicates from Sorted Array II,80,Remove  Duplicates from Sorted Array II,26,Remove  Duplicates from Sorted Array
102,Linked List Cycle,141,Linked List Cycle,142,Linked List Cycle  II
103,Linked List  Cycle II,142,Linked List Cycle  II,141,Linked List Cycle
104,Merge k Sorted  Lists,23,Merge k Sorted  Lists,21,Merge Two Sorted  Lists
105,Copy  List with Random Pointer,138,Copy List  with Random Pointer,,
